id	text	event1	event2	event3	event4	event5	event6	event7	event8
"10"	"REGULATION OF THE MINISTER OF HEALTH of March 24, 2020 amending the regulation on the declaration of an epidemic in the territory of the Republic of Poland"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"11"	"`§3a.1. In the period from March 25, 2020. until April 11, 2020 the movement of persons staying in this area is prohibited in the territory of the Republic of Poland, except for the movement of a given person for the purpose of"	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"12"	"2. When the movement takes place: 1) on foot - two people may move at the same time, not less than 1.5 m from each other;"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"13"	"2. In the event that the movement takes place: 2) by means of public collective transport, within the meaning of Article 1a (4) (3a) of the Act of June 20, 1992, entitlement to concessionary journeys by means of public collective transport (Journal of Laws of 2018, item 295) - this means may be used to transport , at the same time, no more than half the seated"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"14"	"point 4, consist in the obligation to ensure that during the exercise of religious worship, including religious activities or rituals, in a given area or in a given facility there are a total of no more than: a) 50 people, including participants and persons worshipers or persons employed by a funeral director in the event of a funeral - at the time of 20 March 2020. until March 24, 2020 and in the period from April 12, 2020. until further notice"	"False"	"True"	"False"	"True"	"False"	"False"	"False"	"False"
"15"	"point 4, consist in the obligation to ensure that during the exercise of religious worship, including religious activities or rituals, in a given area or in a given facility there are jointly, both inside and outside the premises, not more than 5 participants, except for religious worshipers people employed by the funeral director in the event of a funeral - the period from 25 March 2020. until April 11, 2020"	"False"	"True"	"True"	"False"	"False"	"False"	"False"	"False"
"16"	"in Chapter 5 after §11, §11a is added with the wording: “§11a.1. In the period from March 25, 2020. until April 11, 2020 it is prohibited to: 1) organize assemblies within the meaning of Article 3 of the Act of July 24, 2015. - Law on assembly;"	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"17"	"6) in chapter 5 after §11, §11a is added with the wording: “§11a.1. In the period from March 25, 2020. until April 11, 2020 it is forbidden to: other than specified in paragraph 1 assemblies organized as part of the activities of churches and other religious associations and events, meetings and meetings, regardless of their type, with the exception of meetings of a given person with persons closest to him within the meaning of Article 115 §11 of the Act of 6c zerwca 1997. - the Penal Code or with people closest to the person with whom he / she stays together."	"False"	"True"	"False"	"False"	"False"	"False"	"False"	"False"
"18"	"2.From March 27, 2020 a person crossing the border of the Republic of Poland as part of performing professional activities in the Republic of Poland or in a neighboring country may receive, at his request, from the competent authority of the State Sanitary Inspection, a certificate of compulsory quarantine"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"19"	"amending the regulation on the temporary limitation of the functioning of certain entities of the higher education system and science in connection with the prevention, counteracting and combating COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"20"	"in §1, section 5 is added with the following wording: `5. In the period referred to in section 1, the colleges of electors of public universities, scholarship commissions, commissions and teams appointed in proceedings for awarding degrees and titles conducted at universities, as well as committees and other bodies operating on the basis of university statutes, adopt resolutions for by means of electronic communication, regardless of whether such a mode of their taking was defined in internal regulations of universities or in acts regulating the operation of these entities. ”."	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"21"	"REGULATION OF THE MINISTER OF HEALTH of March 31, 2020 amending the regulation on the declaration of an epidemic in the territory of the Republic of Poland"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"22"	"ACT of March 31, 2020 amending certain acts in the field of the health care system related to preventing, counteracting and combating COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"23"	"a)po ust.5dodaje się ust.5a wbrzmieniu:„5a.Wprzypadku ogłoszenia stanu zagrożenia epidemicznego lub stanu epidemii minister właściwy do spraw zdrowia może zmienić terminy, októrych mowa wust.2  i5.  Wprzypadku nieustania okoliczności będą-cych przyczyną zmiany terminów minister właściwy do spraw zdrowia dokonuje ponownej zmiany tych termi-nów, jednak łączny okres przesunięcia danego terminu nie może być dłuższy niż 5miesięcy. Informację ozmia-nie tych terminów minister właściwy do spraw zdrowia ogłasza na swojej stronie internetowej.”"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"24"	"8a. In the event of announcing an epidemic emergency or an epidemic, a trainee doctor may be directed by: 1) a voivode to work on combating an epidemic pursuant to Article 47 of the Act on 5 December 2008. on the prevention and combating of infections and infectious diseases (Journal of Laws of 2019, items 1239 and 1495 and of 2020, items 284, 322 and 374) to the entity in which they are interning, or to another entity"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"25"	"1c. In the event of the announcement of an epidemic threat or an epidemic, the minister competent for health may change the dates referred to in paragraph 1a."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"26"	"In the event of persistent circumstances causing the change of dates, the minister responsible for health shall change these dates again, however, the total period of postponing a given date may not be longer than 5 months."	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"27"	"The information about the change of these terms is announced by the minister competent for health on his website."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"28"	"15. In the case of announcing an epidemic threat or state of an epidemic, a doctor undergoing specialization training may be directed by: 1) the voivode to work on combating the epidemic pursuant to Article 47 of the Act on 5 December 2008. on the prevention and combating of infections and infectious diseases to the entity in which it is undergoing specialist training, or to another entit"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"29"	"Article 25b. In the event of a declaration of an epidemic threat, state of an epidemic or the risk of spreading an infection or an infectious disease that may pose a threat to public health, in particular the occurrence of a particularly dangerous or highly infectious disease, the director of the Institute may postpone the date of the inspection referred to in Art. 25a section 1, once, not longer than for a period of 6 months from the date of lapse of 2 years from the date of the last inspection."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"30"	"6a. In the event of announcing an epidemic threat or state of an epidemic, the minister competent for health may change the dates referred to in paragraph 6."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"31"	"In the event of announcing an epidemic threat or state of an epidemic, the minister competent for health may change the dates referred to in paragraph 2."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"32"	"If the circumstances causing the change of dates persist, the minister responsible for health shall change these dates again, however, the total period of postponing a given date may not exceed 5 months."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"33"	"The information about the change of these terms is announced by the minister competent for health on his website."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"34"	"In cases justified by extraordinary circumstances, in particular threatening the life or health of persons qualified to commence specialization training, the minister competent for health may extend the time for commencement of specialization training for a period not longer than 6 months."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"35"	"In the event of announcing an epidemic threat or an epidemic, the minister competent for health may change the dates referred to in section 4."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"36"	"In cases justified by extraordinary circumstances, in particular threats to the life or health of people participating in the PESDL, the minister competent for health may revoke all or part of the PESDL in a given field."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"37"	"By canceling PESDL, the minister responsible for health extends the duration of the examination session in which the canceled examination was to take place, once for a period not longer than 6 months."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"True"
"38"	"The minister competent for health may, by means of a regulation, impose on manufacturers, authorized representatives, distributors and importers of medical devices, producers and importers of foodstuffs for particular nutritional uses or entities responsible for biocidal products, holders of a parallel trade permit or permit and manufacturers of biocidal products"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"39"	"Article 48a. 1. Who in the state of epidemic threat or state of epidemic does not adhere to the orders, prohibitions or restrictions established on the basis of Article 46 or Article 46b, which are referred to in: art. 46 (4) (1) or Article 46b (5) and 9-12, shall be subject to a financial penalty in the amount from PLN 5,000 to PLN 30,000"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"40"	"Article 48a. 1. Whoever in an epidemic threat or state of an epidemic shall not adhere to the orders, bans or limitations established on the basis of Article 46 or Article 46b, which are referred to in: Article 46 section 4 point 2 or value 46b point 3, shall be subject to a financial penalty in the amount from PLN 10,000 to PLN 30,000"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"41"	"Article 48a. 1. Whoever in an epidemic threat or state of an epidemic shall not adhere to the orders, bans or limitations established on the basis of Article 46 or Article 46b, which are referred to in Article 46 section 4 points 3-5 or value 46b point 2 and 8, shall be subject to a financial penalty in the amount from PLN 10,000 to PLN 30,000;"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"42"	"Article 48a. 1. Whoever, in an epidemic threat or state of an epidemic, does not comply with the orders, bans or limitations established on the basis of Article 46 or Article 46b, referred to in: 4) Article 46 (4) (6), shall be subject to a financial penalty in the amount from PLN 5,000 to PLN 10,000;"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"43"	"Article 48a. 1. Who in the state of epidemic threat or state of epidemic does not comply with  the orders, bans or limitations established on the basis of article 46 or article 46b, which are referred to in 5) art. 46 section 4 point 7 or value 46b point 4, shall be subject to a financial penalty in the amount from PLN 5,000 to PLN 10,000"	"True"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"44"	"2. Whoever in a state of epidemic threat or state of epidemic fails to implement the decisions referred to in Article 47 section 4 shall be subject to a financial penalty in the amount of PLN 5,000 to PLN 30,000."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"45"	"3. The financial penalties referred to in 1) para. 1, measures, by administrative decision, the state district sanitary inspector and the state border sanitary inspector;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"46"	"Financial penalties referred to in paragraph 2, measures respectively the Governor or the relevant minister of health."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"47"	"5. In the case of repeated committing the same act, referred to in paragraph 1 or 2, the amount of the fine: 1) is not lower than the amount of the previous fine for such violation;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"48"	"`2.The provision of section 1 shall apply accordingly to the officers of the services mentioned in the provisions on pension provision for officers of the Police, the Internal Security Agency, the Intelligence Agency, the Military Counterintelligence Service, the Military Intelligence Service, Central Anticorruption Bureau, Border Guard, State Protection Service, State Fire Service, C Service elno-Skarbowa and the Prison Service and their families."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"49"	"REGULATION OF THE MINISTER OF HEALTH of April 6, 2020 on infectious diseases resulting in the obligation of hospitalization, isolation or isolation in home conditions and the obligation of quarantine or epidemiological supervision"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"50"	"1. The regulation specifies: 1) infectious diseases causing the obligation to hospitalize"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"51"	"1. The regulation specifies: 1) infectious diseases causing the obligation to isolate or isolate in domestic conditions"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"52"	"2) duties of a doctor or a medical assistant in the case of suspicion or diagnosis of an infection or an infectious disease resulting in the obligation to hospitalize"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"53"	"2) duties of a doctor or a medical assistant in the case of suspicion or diagnosis of an infection or an infectious disease resulting in the obligation to isolate or isolate at home;"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"54"	"§2.1. Compulsory hospitalization covers: 1) people suffering from tuberculosis during the mycobacterial period and people with justified suspicion of tuberculosis;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"55"	"§2.1. Compulsory hospitalization covers: infected or sick persons, as well as suspected infection or illness"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"56"	"§2.1. Obowiązkowej hospitalizacji podlegają: 3)osoby, u których stwierdzono zakażenie wirusem SARS-CoV-2 lub zachorowanie na chorobę wywołaną wirusem SARS-CoV-2(COVID-19) lub podejrzenie zakażenia lub zachorowania"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"57"	"2. Obligatory isolation or isolation in domestic conditions shall apply to persons who have been diagnosed with SARS-CoV-2 virus infection or contracted disease caused by SARS-CoV-2 (COVID-19) virus, or suspected infection or disease"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"58"	"REGULATION OF THE MINISTER OF NATIONAL EDUCATION J of 9 April 2020 amending the regulation on the temporary limitation of the functioning of the education system units in connection with the prevention, counteraction and combating of COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"59"	"in §3 point 2 is replaced by the following: `2) in the case of schools providing vocational training - the suspension also applies to classes carried out within the framework of practical vocational training organized by the school and student internship, referred to in Art. 121a of the Act of December 14, 2016. –Education law; ”;"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"60"	"3) after §4b, §4c is added to the wording: `§4c. The provision of §3a also applies to charges of a youth educational center who have obtained leave consent in accordance with the provisions issued under Art. 81 of the Act of October 26, 1982. in the proceedings in juvenile cases (Journal of Laws of 2018, item 969) and they are not staying in the youth educational center. `"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"61"	"REGULATION OF THE COUNCIL OF MINISTERS of April 9, 2020 on air traffic bans"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"62"	"§1.Wprowadza  się  zakaz  wykonywania,  na  lotniskach  wpisanych  do  rejestru  lotnisk  cywilnych  ilądowiskachwpisanych do ewidencji lądowisk, lądowania przewożących pasażerów cywilnych statków powietrznych wykonujących loty międzynarodow"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"63"	"§2.Wprowadza  się  zakaz  wykonywania,  na  lotniskach  wpisanych  do  rejestru  lotnisk  cywilnych  ilądowiskachwpisanych do ewidencji lądowisk, lądowania handlowego przez statki powietrzne wykonujące loty  wruchu  krajowym"	"False"	"False"	"False"	"True"	"False"	"False"	"False"	"False"
"64"	"REGULATION OF THE MINISTER OF INTERNAL AFFAIRS AND ADMINISTRATION of April 9, 2020 amending the regulation on the temporary reintroduction of border control of persons crossing the state border constituting an internal border"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"65"	"1)po ust.1a dodaje się ust.1b wbrzmieniu:„1b.Kontrolę graniczną osób, przywróconą tymczasowo na okres, októrym mowa wust.1  i1a, przedłuża się na okres od dnia 14kwietnia 2020r. do dnia 3maja 2020r.”;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"66"	"2) paragraph 2 shall read as follows: `2. The scope of control referred to in sections 1–1b, including the possibility of limiting it on the principles set out in the Schengen Border Code, will be adapted to the degree of threat to public order or state"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"67"	"REGULATION OF THE MINISTER OF INTERNAL AFFAIRS AND ADMINISTRATION of April 10, 2020 on the temporary limitation of the operation of state services universities"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"68"	"§1.1 In the period from April 11, 2020 until April 26, 2020 the functioning of higher education institutions of state services supervised by the minister responsible for internal affairs is limited by the suspension of education: 1) during studies; 2) at postgraduate studies; 3) in other forms."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"69"	"2. During the period of suspension of education, classes may be carried out with the use of distance learning methods and techniques, regardless of whether it was provided for in the curriculum of this education."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"70"	"3. In the case of conducting classes in the manner specified in section 2, the verification of the achieved learning outcomes specified in the curriculum of a given education may take place outside the seat of the university, with the use of IT technologies ensuring control of the verification of the achieved learning outcomes and its registration."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"71"	"2. During the period of suspension of education, activities related to the awarding of scientific degrees and titles may be suspended, if it is not possible to pass resolutions by secret ballot."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"72"	"REGULATION OF THE MINISTER OF NATIONAL EDUCATION of April 10, 2020. amending the regulation on special solutions for the temporary limitation of the functioning of education system units in connection with the prevention, prevention and combating of COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"73"	"a) in sec. 1, the first sentence is replaced by the following: `In the case of apprenticeships for students of technical secondary schools and post-secondary schools, planned to be carried out in the period in which the functioning of the education system units has been temporarily limited, these apprenticeships are carried out until the end of the 2019/2020 school year or in higher curricular classes (semesters).`"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"74"	"2) in §11b, the current content is marked as para. 1 and paragraph is added. 2-9 in the wording: `2.The recruitment procedure for the school year 2020/2021 to grades I of public secondary schools and entrance classes, referred to in Art. 25 sec. 3 of the Act of December 14, 2016. - Educational law, with the exception of public post-secondary schools, public sectoral secondary schools and public schools for adults, is carried out on new dates specified by the minister responsible for education. The new deadlines for the recruitment procedure as well as the deadlines for submitting documents are made public on the website of the office supporting the minister responsible for education."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"75"	"REGULATION OF THE COUNCIL OF MINISTERS of April 15, 2020 amending the regulation on the establishment of certain restrictions, orders and prohibitions in relation to the occurrence of an epidemic"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"76"	"§18.1. From April 16, 2020, until further notice, the obligation to cover the mouth and nose with clothing or its parts, mask or mask,"	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"77"	"3. A person performing professional activities in commercial or service facilities or commercial or service outlets may, during the performance of these professional activities, fulfill the obligation referred to in paragraph 1, by covering the mouth and nose with a visor, if all cash points or places of sale or service provision are the facility or facility is separated from the customers by an additional protective screen."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"78"	"4. A person is required to uncover his mouth and nose at the request of: 1) authorized bodies in the case of identifying this person in order to establish his identity; 2) another person in connection with the provision of services or the performance of professional or official activities, including in the case of the need to identify or verify identity of the person."	"False"	"False"	"True"	"False"	"False"	"False"	"False"	"False"
"79"	"REGULATION OF THE MINISTER OF INTERNAL AFFAIRS AND ADMINISTRATION of 24 April 2020 amending the regulation on the temporary limitation of the operation of state services universities"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"80"	"§1 In the Regulation of the Minister of Interior and Administration of April 10, 2020 on the temporary limitation of the functioning of higher education institutions of state services (Journal of Laws item 654) in §1: 1) in the introduction to the enumeration of the words `April 26, 2020` shall be replaced by the words `May 24, 2020`;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"81"	"2) sec. 3 shall read as follows: `3. In the case of conducting classes in the manner specified in clause 2, verification of the achieved learning outcomes specified in the curriculum of a given education, in particular conducting credits and examinations at the end of specific classes and diploma examinations, may take place outside the seat of the university, with the use of IT technologies ensuring control of the verification of learning outcomes and its registration."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"82"	"REGULATION OF THE MINISTER OF NATIONAL EDUCATION of April 24, 2020. amending the regulation on the temporary limitation of the functioning of education system units in connection with the prevention, counteracting and combating COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"83"	"§1 In the Regulation of the Minister of National Education on March 11, 2020 on the temporary limitation of the functioning of education system units in connection with the prevention, counteraction and combating of COVID-19 (Journal of Laws, item 410,492,595 and 642), used in §2 in paragraphs 1 and 1a, in §3 in point 3, in §3 paragraph 1 and 3 and in §4 the words `April 26, 2020. ` shall be replaced by the words `May 24, 2020`"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"84"	"REGULATION OF THE MINISTER OF CULTURE AND NATIONAL HERITAGE of April 24, 2020. amending the regulation on the temporary limitation of the functioning of art universities in connection with the prevention, prevention and combating of COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"85"	"§ 1. In the regulation of the Minister of Culture and National Heritage of April 9, 2020 on temporary
restrictions on the functioning of art universities in connection with the prevention, counteraction and combating COVID-19
(Journal of Laws item 641) in § 1:
1) in sec. 1 in the introduction to the enumeration, the words `April 26, 2020` shall be replaced by the words `24 May 2020`;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"86"	"2) paragraph 3 is replaced by the following:
`3. In the case of conducting classes in the manner specified in para. 2 verification of the achieved learning outcomes specified in the curriculum of a given education, in particular conducting credits and examinations at the end of specific classes and diploma examinations, may take place outside the headquarters of an art university or outside its branch, with the use of information technologies ensuring control of the verification of the achieved learning outcomes, and its registration. ”."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"87"	"REGULATION OF THE MINISTER OF SCIENCE AND HIGHER EDUCATION of 27 April 2020 on the temporary limitation of the functioning of corporations of scientists and scientific units of the Polish Academy of Sciences in connection with the prevention, prevention and combating of COVID-19"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"88"	"2) the Academy's research institutes by:
a) limitation of the obligation to work by employees of these institutes in their area, except for cases where it is necessary to ensure the continuity of the functioning of these institutes or when these institutes take part in preventing, counteracting and combating COVID-19,"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"89"	"2) the Academy's research institutes by: b) suspending education:
- in postgraduate studies,
- in other forms
- carried out as part of the classes;"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"90"	"3) auxiliary research units of the Academy by limiting the obligation to perform work by employees
these units within their area"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"91"	"2. During the period referred to in sec. 1, the Academy's research institutes which have the infrastructure and software at their disposal to conduct classes with the use of distance learning methods and techniques, conduct classes
using these methods and techniques, whether or not it is foreseen in the curriculum of the given education."	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"92"	"REGULATION OF THE MINISTER OF INTERNAL AFFAIRS AND ADMINISTRATION of 28 April 2020 amending the regulation on temporarily reintroducing border control of persons crossing the state border constituting an internal border"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"93"	"1) after sec. 1b, the following paragraph shall be added: 1c as follows:
`1c. Border control of persons, temporarily reintroduced for the period referred to in sec. 1-1b, extends to
the period from 4 May 2020 to 13 May 2020 ';"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
"94"	"2) paragraph 2 is replaced by the following:
`2. The scope of the control referred to in para. 1-1c, including the possibility of limiting it on the principles set out in the Schengen Borders Code, will be adjusted to the degree of threat to public order or state security"	"False"	"False"	"False"	"False"	"False"	"False"	"False"	"False"
