Paragraph text,Classification_label
"People travelling to Wuhan should maintain good hand, respiratory and personal hygiene and should avoid visiting animal and bird markets or people who are ill with respiratory symptoms. Individuals should seek medical attention if they develop respiratory symptoms within 14 days of visiting Wuhan, either in China or on their return to the UK, informing their health service prior to their attendance about their recent travel to the city.","0,0,0,0,0,0,0,0"
"Public Health England (PHE) is monitoring the situation with international partners, including the World Health Organization (WHO). PHE has also issued advice to travellers ahead of Chinese New Year this month.","0,0,0,0,0,0,0,0"
"The risk to the UK population is very low and the risk to travellers to Wuhan is low, but they are advised to take simple precautions such as practicing good hand and personal hygiene and minimise contact with birds and animals in markets in Wuhan as a further precaution.","0,0,0,0,0,0,0,0"
"The Wuhan Municipal Health Commission has reported 41 cases of the disease so far, the majority of which appear to be connected to a seafood and animal market in the city. There have been no deaths reported and there is no significant evidence of transmission from person to person or any signs of illness among medical and nursing staff.","0,0,0,0,0,0,0,0"
"Dr Nick Phin, National Infection Service Deputy Director at PHE, said on the reported Wuhan novel coronavirus:  Based on the available evidence, the risk to travellers to Wuhan from this disease is low and we are not advising them to change their plans.","0,0,0,0,0,0,0,0"
"In order to minimise the risk of transmission, people travelling to the area should maintain good hand and personal hygiene. Travellers should seek medical attention if they develop respiratory symptoms within 14 days of visiting Wuhan, informing their health service prior to their attendance about their recent travel to the city.","0,0,0,0,0,0,0,0"
The risk to the UK population is very low. The UK has robust arrangements to manage emerging diseases and we can draw on our experience of developing pioneering diagnostic tests in humans for the coronaviruses - SARS and MERS.,"0,0,0,0,0,0,0,0"
"Besides the evolving situation in Wuhan, all travellers should also be aware of the risk of avian flu when visiting China during the Chinese New Year, or Spring Festival, beginning on 25 January 2020.","0,0,0,1,0,0,0,0"
"Human cases of avian influenza have recently been reported in China, and historically there have been more cases at this time of year. Cases have originated from several provinces and municipalities across mainland China, and there have been a small number of avian influenza cases among Hong Kong SAR and Taiwan residents who have travelled to mainland China.","0,0,0,0,0,0,0,0"
"The majority of reported human cases in China have had close contact with wild birds or poultry. Although the risk is very low, Public Health England and the National Travel Health Network and Centre (NaTHNaC) are reminding UK travellers to protect themselves from avian flu by minimising exposure to wild birds and poultry.","0,0,0,0,0,0,0,0"
"Avian influenza remains a risk in a number of parts of China and if travellers experience coughing or difficulty breathing within 14 days of returning from China, they should call their GP or NHS 111 and report their recent travel.","0,0,1,0,0,0,0,0"
"(1) Where Condition A or B (set out in regulation 4) is met in relation to a person (“P”), the Secretary of State or a registered public health consultant may—(a)(orally or in writing) impose on or in relation to P one or more screening requirements to inform an assessment, by the Secretary of State or a registered public health consultant, of whether P presents or could present a risk of infecting or contaminating others; ","0,0,1,0,0,0,0,0"
"(1) Where Condition A or B (set out in regulation 4) is met in relation to a person (“P”), the Secretary of State or a registered public health consultant may - carry out such an assessment in relation to P; and","0,0,1,0,0,0,0,0"
"(1) Where Condition A or B (set out in regulation 4) is met in relation to a person (“P”), the Secretary of State or a registered public health consultant may—following such an assessment, (orally or in writing) impose on or in relation to P any other restriction or requirement which the Secretary of State or, as the case may be, a registered public health consultant considers necessary for the purposes of removing or reducing the risk referred to in sub-paragraph (a), including a special restriction or requirement(1).","0,1,1,0,0,0,0,0"
"(2) A decision to impose a restriction or requirement under paragraph (1) may only be taken if the Secretary of State or, as the case may be, registered public health consultant considers, when taking the decision, that the restriction or requirement is proportionate to what is sought to be achieved by imposing it.","1,0,0,0,0,0,0,0"
(3) A restriction or requirement imposed under paragraph (1)— (a)by the Secretary of State may be varied (orally or in writing) by the Secretary of State;,"1,0,0,0,0,0,0,0"
"(3) A restriction or requirement imposed under paragraph (1) (b)by a registered public health consultant may be varied (orally or in writing) by the Secretary of State or a registered public health consultant.
","1,0,0,0,0,0,0,0"
"(4) Where a restriction or requirement under paragraph (1)(c) is imposed on or in relation to a child, a person who is a responsible adult in relation to the child must secure that the child complies with the restriction or requirement, insofar as that person is reasonably able to do s","0,0,0,0,0,0,0,0"
"(5) Where a restriction or requirement is imposed orally on a person under this regulation, or a restriction or requirement imposed under this regulation is orally varied, the person (or, in the case of a child, a person who is a responsible adult in relation to the child) must be provided with a written notification of the restriction or requirement that has been imposed or varied as soon as reasonably practicable.","0,0,0,0,0,0,0,0"
"(6) Where a special restriction or requirement is imposed under paragraph (1)(c), the person imposing the restriction or requirement must express it to be contingent on the incidence or transmission of Coronavirus constituting a serious and imminent threat to public health as referred to in regulation 3.","1,0,0,0,0,0,0,0"
(7) Paragraph (1) does not affect the exercise of any powers by virtue of regulation 8.,"0,0,0,0,0,0,0,0"
"—(1) In a case where Condition A or B (set out in regulation 4) is met in relation to a person (“P”)—(a)following an assessment, by the Secretary of State or a registered public health consultant, of risk presented by P in accordance with regulation 5(1), or
(b)following P’s release from detention under regulation 5, or from isolation under regulation 8,the Secretary of State or a registered public health consultant may (orally or in writing) impose on P any one or more of the requirements specified in paragraph (2) where the Secretary of State or registered public health consultant considers that it is necessary and proportionate to do so in order to reduce or remove the risk of P infecting or contaminating others.","0,1,1,0,0,0,0,0"
"The requirements specified in this paragraph are for P to—
(a)provide P’s contact details to a public health officer;","0,0,1,0,0,0,0,0"
(2) The requirements specified in this paragraph are for P to— (b)supply information to a public health officer which may assist in assessing P’s health;,"0,0,1,0,0,0,0,0"
"(2) The requirements specified in this paragraph are for P to at such time as a public health officer may specify, allow the officer or a medical officer, to take a biological sample of P, including a sample of P’s respiratory secretions or blood, by appropriate means including by swabbing P’s nasopharyngeal cavity, or provide such a sample;","0,0,1,0,0,0,0,0"
(2) The requirements specified in this paragraph are for P to (d)comply with any other specified condition or to take any other specified measure.,"0,0,1,0,0,0,0,0"
"(3) The conditions or measures which may be specified under paragraph (2)(d) include—
(a)a restriction on P’s travel;","0,1,0,0,0,0,0,0"
(3) The conditions or measures which may be specified under paragraph (2)(d) include (b)a restriction on P’s activities;,"0,1,1,0,0,0,0,0"
(3) The conditions or measures which may be specified under paragraph (2)(d) include,"0,1,1,0,0,0,0,0"
(4) The period for which a restriction is imposed under paragraph (3) may not exceed 14 days beginning with the day on which the restriction is imposed.,"0,0,0,0,0,0,0,0"
"(5) The Secretary of State or a registered public health consultant may (orally or in writing)—
(a)vary any requirement imposed under this regulation; and","1,0,0,0,0,0,0,0"
(5) The Secretary of State or a registered public health consultant may (orally or in writing)— (b)impose on P any additional requirements specified in paragraph (2).,"1,0,0,0,0,0,0,0"
"(6) Before imposing or varying a requirement under this regulation, the Secretary of State or, as the case may be, registered public health consultant must—
(a)inform P (or where P is a child, a person who is a responsible adult in relation to P) of the requirement or variation that the Secretary of State or registered public health consultant is minded to impose or make; and","1,0,0,0,0,0,0,0"
"(6) Before imposing or varying a requirement under this regulation, the Secretary of State or, as the case may be, registered public health consultant must (b)have regard to any relevant representations by P (or, where P is a child, a person who is a responsible adult in relation to P), as to its suitability.","1,0,0,0,0,0,0,0"
"(7) Where a requirement under this regulation is imposed on or in relation to a child, or varied in relation to a child, a person who is a responsible adult in relation to the child must secure that the child complies with the requirement, insofar as that person is reasonably able to do so.","0,0,0,0,0,0,0,0"
"(8) Where the Secretary of State or a registered public health consultant orally imposes a requirement on P under this regulation, or orally varies such a requirement, the Secretary of State or, as the case may be, registered public health consultant must provide P (or where P is a child, a person who is a responsible person in relation to P) with a written notification of the requirement that has been imposed or varied.","1,0,0,0,0,0,0,0"
(9) Paragraph (1) does not affect the exercise of any powers by virtue of regulation 5(1)(c).,"0,0,0,0,0,0,0,0"
(1) This regulation applies where Condition A or B (set out in regulation 4) is met in relation to a person (“P”).,"0,0,0,0,0,0,0,0"
"The Secretary of State or a registered public health consultant may require P to be kept in isolation, if the Secretary of State or, as the case may be, registered public health consultant —
(a)has reasonable grounds to believe that P is, or may be, infected or contaminated with Coronavirus; and","1,0,1,0,0,0,0,0"
"(2) The Secretary of State or a registered public health consultant may require P to be kept in isolation, if the Secretary of State or, as the case may be, registered public health consultant — considers that it is necessary and proportionate to do so in order to reduce or remove the risk of P infecting or contaminating others.","1,0,0,0,0,0,0,0"
"(3) Where a registered public health consultant has reasonable grounds to believe that P is, or may be, infected or contaminated with Coronavirus, the registered public health consultant may detain P pending the decision of the Secretary of State or, as the case may be, registered public health consultant under paragraph (2).","1,1,0,0,0,0,0,0"
"(4) Where paragraph (2) applies, the Secretary of State or, as the case may be, registered public health consultant may impose on or in relation to P one or more screening requirements.","1,0,1,0,0,0,0,0"
"(5) Where a special restriction or requirement is imposed under this regulation, the person imposing the restriction or requirement must express it to be contingent on the incidence or transmission of Coronavirus constituting a serious and imminent threat to public health as referred to in regulation 3.","1,0,0,0,0,0,0,0"
(6) Paragraph (1) does not affect the exercise of any powers by virtue of regulation 5(1)(c).,"0,0,0,0,0,0,0,0"
"1) The powers in regulations 4, 5 and 8 include powers to impose a restriction or requirement in relation to a group of persons, including a special restriction or requirement.","1,0,0,0,0,0,0,0"
(2) For those purposes those regulations have effect as follows.,"0,0,0,0,0,0,0,0"
"(3) In regulation 4—
(a)in paragraph (2), references to P are to each person in the group;","1,1,0,0,0,0,0,0"
"(3) In regulation 4 (b)in paragraph (3), references to P are to each person in the group who has arrived on the same aircraft, ship or train and left the same area;","1,1,0,0,0,0,0,0"
"(3) In regulation 4 (c)in paragraph (1) (insofar as it relates to those paragraphs), the reference to “a person” is to be read accordingly, and the power to impose a requirement to be detained is to be read as a power to impose that requirement on any one or more of the persons in the group in question.","1,1,0,0,0,0,0,0"
"13.—(1) Where a requirement is imposed on a person to be detained or kept in isolation under regulation 4, 5 or 8, a constable may do any of the following—
(a)take the person to a suitable place, specified by the Secretary of State or a public health officer, for the person’s detention or isolation;","1,1,0,0,0,0,0,0"
"13.—(1) Where a requirement is imposed on a person to be detained or kept in isolation under regulation 4, 5 or 8, a constable may do any of the following— (b)keep the person in detention or isolation","1,1,0,0,0,0,0,0"
"(2) Where a person absconds from detention or isolation imposed under regulation 4, 5 or 8, a constable may take the person into custody and return the person to the place of detention or isolation, or take the person to another suitable place specified by a public health officer.","1,1,0,0,0,0,0,0"
"(3) A constable may use reasonable force, if necessary, in the exercise of a power under this regulation.","1,0,0,0,0,0,0,0"
"14.—(1) This regulation applies if a constable has reasonable grounds to suspect that—
(a)a person (“P”) is, or may be, infected or contaminated with Coronavirus;","1,0,0,0,0,0,0,0"
(1) This regulation applies if a constable has reasonable grounds to suspect that— there is a risk that P might infect or contaminate others; and,"1,0,0,0,0,0,0,0"
"—(1) This regulation applies if a constable has reasonable grounds to suspect that— it is necessary to direct, remove or detain P in the interests of P, for the protection of other persons or for the maintenance of public safety","1,0,0,0,0,0,0,0"
"(2) A constable may—
(a)direct P to go immediately to a hospital or other suitable place specified in the direction for the purposes of screening, assessment and the imposition of any restrictions or requirements under regulation 5,","1,1,1,0,0,0,0,0"
A constable may—remove P to a hospital or other suitable place for the purposes of the imposition of any restrictions or requirements under regulation 5; or,"1,1,1,0,0,0,0,0"
" A constable may— if P is already at a hospital or other suitable place, keep P at that place or remove P to another hospital or other suitable place for the purposes of the imposition of any restrictions or requirements under regulation 5.","1,1,1,0,0,0,0,0"
(3) The power in paragraph (2) may be exercised where P is at any place.,"0,1,0,0,0,0,0,0"
"(4) For the purpose of exercising the power in paragraph (2), a constable may enter any place.","1,0,1,0,0,0,0,0"
"(5) Before exercising the power in paragraph (2) the constable must—
(a)so far as reasonably practicable, consult a registered public health consultant and have due regard to the views of the registered public health consultant and any information provided by the registered public health consultant in relation to P;","1,0,0,0,0,0,0,0"
Before exercising the power in paragraph (2) the constable must—have due regard to any guidance issued by Public Health England; and,"1,0,0,0,0,0,0,0"
"Before exercising the power in paragraph (2) the constable must where consultation has not been carried out under sub-paragraph (a)—
(i)consult a registered public health consultant as soon as reasonably practicable after the power in paragraph (2) has been exercised; and","1,0,0,0,0,0,0,0"
Before exercising the power in paragraph (2) the constable must where consultation has not been carried out under sub-paragraph (a)—have due regard to the views of the registered public health consultant and any information provided by the registered public health consultant in relation to P.,"1,0,0,0,0,0,0,0"
(6) A person removed to or kept in a hospital or other suitable place under this regulation may be detained there for a period not exceeding the permitted period of detention.,"0,1,0,0,0,0,0,0"
"(7) A constable or a registered public health consultant or a person authorised by either of them for the purposes of this paragraph, may, before the end of the permitted period of detention, take a person detained in a hospital or other suitable place to one or more other hospitals or other suitable places.","1,1,1,0,0,0,0,0"
(8) A person taken to a hospital or other suitable place under paragraph (7) may be detained there for a period ending no later than the permitted period of detention.,"0,1,1,0,0,0,0,0"
"(9) A constable may use reasonable force, if necessary, in the exercise of a power under this regulation.","1,0,0,0,0,0,0,0"
"(10) In this regulation—
“the authorised extended period” means such further period as is specified in an authorisation under paragraph (11);","0,0,0,0,0,0,0,0"
"“the initial period” means the period of 24 hours beginning with—
(a)in a case where the person is removed to a hospital or other suitable place, the time when the person arrives at that place, or","0,0,0,0,0,0,0,0"
"“the initial period” means the period of 24 hours beginning with in a case where the person is kept at a hospital or other suitable place, the time when the constable decides to keep the person at that place; and","0,0,0,0,0,0,0,0"
“the permitted period of detention” means the initial period of detention and the authorised extended period.,"0,0,0,0,0,0,0,0"
"(11) A constable or registered public health consultant may, at any time before the expiry of the initial period, authorise the detention of a person for a further period not exceeding 24 hours (beginning immediately at the end of the initial period).","1,1,1,0,0,0,0,0"
(12) An authorisation under paragraph (11) may be given only if the person giving the authorisation considers that the extension is necessary because it is not reasonably practicable for the imposition of any restrictions or requirements under regulation 5 to be completed before the end of the initial period.,"1,0,0,0,0,0,0,0"
"Mr Speaker, with your permission, I’d like to update the House on COVID-19 coronavirus.","0,0,0,0,0,0,0,0"
"As of this morning, 7,132 people in the UK have been tested for the virus.","0,0,0,0,0,0,0,0"
"So far 13 people in the UK have tested positive, of whom 8 now have been discharged from hospital.We expect more cases here. As planned, 115 people left supported isolation at Kents Hill Park in Milton Keynes on 23 February. All tested negative for COVID-19.","0,0,0,0,0,0,0,0"
"On Saturday, 32 people from the Diamond Princess cruise ship were repatriated and taken to Arrowe Park, where they will remain in supported isolation.","0,0,1,0,1,0,0,0"
And 4 of those have tested positive and been transferred to specialist centres.,"0,0,1,0,0,0,0,0"
British tourists are currently being quarantined in a hotel in Tenerife and the Foreign Office is in contact with them.,"0,0,0,0,0,0,0,0"
"Mr Speaker, we have a clear, 4-part plan to respond to the outbreak of this disease:
Contain. Delay. Research and Mitigate.","1,0,0,0,0,0,0,0"
We are taking all necessary measures to minimise the risk to the public.,"0,0,0,0,0,0,0,0"
"We have put in place enhanced monitoring measures at UK airports, and health information is available at all international airports, ports and international train stations.","1,0,0,0,0,0,0,0"
"We have established a supported isolation facility at Heathrow, to cater for international passengers who are tested, and to maximise infection control and free up NHS resources.","0,0,1,0,0,0,0,0"
"The NHS is testing a very large number of people who travel back from affected countries, the vast majority of whom test negative.","0,0,1,0,0,0,0,0"
"In the past few days we have published guidance for schools, for employers, for first responders, for social care and the travel industry on how to handle suspected cases.","1,0,0,0,0,0,0,0"
"If anyone has been in contact with a suspected case in a childcare or an educational setting, no special measures are required while test results are awaited.","0,0,0,0,0,0,0,0"
There is no need to close the school or send other students or staff home.,"0,0,0,1,0,0,0,0"
"Once the results arrive, those who test negative will be advised individually about returning to education.","0,0,0,0,0,0,0,0"
"In most cases, closure of the childcare or education setting will be unnecessary, but this will be a local decision based on various factors including professional advice.","0,0,0,1,0,0,0,0"
Schools should be guided by the advice on the GOV.UK website and contact their regional school commissioner in case of queries.,"0,0,0,1,0,0,0,0"
I can tell the House that in the coming days we will roll out a wider public information campaign.,"0,0,0,0,0,0,0,1"
"While the government and the NHS have plans in place for all eventualities, everyone can play their part.","0,0,0,0,0,0,0,0"
"To reiterate, our advice is for everyone to take sensible precautions like using tissues and washing hands more.","0,0,0,0,0,0,0,0"
"Yesterday, we updated our advice to returning travellers from northern Italy, defined as anywhere north of, but not including, Pisa and Florence, as well as Vietnam, Cambodia, Laos and Myanmar.","0,0,0,0,0,0,0,0"
"Those returning from Iran, from the lockdown areas in northern Italy, and special care zone in South Korea should self-isolate and call NHS 111, even if they have no symptoms.","0,0,1,0,0,0,0,0"
"We are working closely with the World Health Organization, the G7 and the wider international community to ensure that we are ready for all eventualities. We are co-ordinating research efforts with international partners.","0,0,0,0,0,0,0,0"
"And our approach has at all times been guided by the Chief Medical Officer, working on the basis of the best possible scientific evidence.","0,0,0,0,0,0,0,0"
"The public can be assured that we have a clear plan to contain, delay, research and mitigate, and that we are working methodically through each step to keep the public safe.
I commend this statement to the House.","0,0,0,0,0,0,0,0"
"Health Secretary Matt Hancock will launch a refreshed public information campaign, and set out an enhanced government approach to pandemic preparation.","1,0,0,0,0,0,0,1"
Every government department to have a designated ministerial virus lead to help oversee government response to the global threat of COVID-19,"1,0,0,0,0,0,0,0"
Cross-government ‘war room’ of communications experts and scientists also set up ahead of public information blitz in coming weeks,"1,0,0,0,0,0,0,0"
"Further COBRs planned this week, with ministerial COBR meetings upgraded to be held more frequently, if required","1,0,0,0,0,0,0,0"
"All 4 parts of the UK will work together against the potential of a COVID-19 epidemic in the UK, under the government’s new approach to pandemic preparation.","1,0,0,0,0,0,0,0"
"Every department will have a designated ministerial virus lead to help oversee the cross-government response to the outbreak, with the government increasing the number of COBRs meetings.","1,0,0,0,0,0,0,0"
"The Prime Minister will chair a meeting of COBR on Monday as part of this co-ordinated response, and has today received a situation briefing by the Chief Medical Officer and the Secretary of State from the Department of Health and Social Care.","0,0,0,0,0,0,0,0"
"Other government departments will increase their preparations as part of the comprehensive approach to Coronavirus, which has been led so far by DHSC working with NHS England and Public Health England.","1,0,0,0,0,0,0,0"
Leading scientific experts and senior civil servants will also increase the number of high-level meetings to support ministers in their preparations.,"1,0,0,0,0,0,0,0"
"The move comes as government prepares to jointly publish an updated action plan on the response of the health care system and the public to COVID-19 together with the governments in the devolved nations. The document, expected to be published later this week, will outline the steps government will take to manage COVID-19 if it there is a sustained UK epidemic.","0,0,0,0,0,0,0,1"
"The plan will be based on the government’s existing contingency plans for responding to a pandemic flu outbreak, but has been adapted to take account of the differences between COVID-19 and pandemic influenza – ensuring government has been able to quickly develop an effective response while leaving further room to adapt the plan over time.","0,0,0,0,0,0,0,1"
"Prime Minister Boris Johnson said:
We must prepare for Coronavirus and listen to the advice of the Chief Medical Officer – especially about the importance of washing our hands with soap. We should be doing that for 20 seconds, and more often than we would normally think was necessary. This will make a real difference in stopping this virus spread.","0,0,1,0,0,0,0,0"
Prime Minister Boris Johnson said Coronavirus may very well be a challenge in the weeks and months ahead. But I have no doubt that with the help of the NHS and its incomparable staff this country will get through it – and beat it.,"0,0,0,0,0,0,0,0"
Health Secretary Matt Hancock said: The UK is a world leader in preparing for and managing disease outbreaks and I have every confidence in our nation’s ability to respond to the threat of COVID-19.,"0,0,0,0,0,0,0,1"
"Health Secretary Matt Hancock said Public safety is our top priority. Our battle plan will ensure that as this escalates, every part of government is working together to share the responsibility of tackling the health, economic, and social impacts of COVID-19.","0,0,0,0,0,0,0,1"
"Health Secretary Matt Hancock said The government and the NHS are working 24/7 to fight this virus, but cannot do this alone. Every single person has a role to play in helping to manage the spread of the virus - whether that’s washing your hands more often, catching your sneezes, and following clinical advice by calling NHS 111 not going to A&E if you develop symptoms.","0,0,1,0,0,0,0,0"
"While we are currently in the ‘containment’ phase where isolated cases are transferred to hospital and detailed contact tracing is carried out, the next phase could see broader measures introduced to keep the public safe and relieve the pressure on the NHS.","0,0,1,0,0,0,0,0"
"These could include looking at emergency registration of health professionals who have retired, the introduction of emergency indemnity coverage for health care workers to provide care or diagnostic services and relaxation of rules around staff to pupil ratios in education and childcare settings.","1,0,0,0,0,0,0,0"
"More widely, government is considering whether to encourage more home working and discourage unnecessary travel as part of a ‘social distancing’ strategy that would delay the peak of the outbreak until later in the year, potentially helping combat the virus in warmer weather conditions.","0,0,1,0,0,0,0,0"
